Parroquia,provincia,Cantidad
"macara, cabecera cantonal",loja,12024
san carlos,los rios,11966
zapotal,los rios,11588
"pimampiro, cabecera cantonal",imbabura,11513
totoras,tungurahua,11277
tanicuchi,cotopaxi,11193
patricia pilar,los rios,11165
shell,pastaza,11102
guaitacama (guaytacama),cotopaxi,11011
"baba, cabecera cantonal",los rios,10895
calacali,pichincha,10885
febres cordero (las juntas),los rios,10824
"paute, cabecera cantonal",azuay,10823
atahualpa (chisalata),tungurahua,10819
crucita,manabi,10720
"san vicente, cabecera cantonal",manabi,10706
"san miguel, cabecera cantonal",bolivar,10635
san luis,chimborazo,10578
julio andrade (orejuela),carchi,10352
tababela,pichincha,10294
manuel cornejo astorga (tandapi),pichincha,10280
"santa isabel (chaguarurco), cabecera cantonal",azuay,10166
sinincay,azuay,10069
"cumanda, cabecera cantonal",chimborazo,10063
"quinsaloma, cabecera cantonal",los rios,9887
"biblian, cabecera cantonal",canar,9873
"zaruma, cabecera cantonal",el oro,9838
"muisne, cabecera cantonal",esmeraldas,9722
"las naves, cabecera cantonal",bolivar,9622
luz de america,santo domingo de los tsachilas,9618
charapoto,manabi,9162
sayausi,azuay,9014
alluriquin,santo domingo de los tsachilas,8937
"simon bolivar, cabecera cantonal",guayas,8910
"alausi, cabecera cantonal",chimborazo,8824
"tisaleo, cabecera cantonal",tungurahua,8773
"el pangui, cabecera cantonal",zamora chinchipe,8695
ambuqui,imbabura,8685
colonche,santa elena,8618
"cevallos, cabecera cantonal",tungurahua,8511
lican,chimborazo,8499
tarqui,pastaza,8475
"puerto quito, cabecera cantonal",pichincha,8471
"general antonio elizalde (bucay), cabecera canton*",guayas,8325
san luis de pambil,bolivar,8295
anconcito,santa elena,8224
la esperanza,los rios,8127
la union,los rios,8123
"archidona, cabecera cantonal",napo,8058
"pallatanga, cabecera cantonal",chimborazo,7990
"giron, cabecera cantonal",azuay,7967
"lumbaqui, cabecera cantonal",sucumbios,7853
los lojas (enrique baquerizo moreno),guayas,7819
"palestina,cabecera cantonal",guayas,7724
"coronel marcelino mariduena (san carlos), cabecer",guayas,7722
san bartolome de pinllog,tungurahua,7709
"guamote, cabecera cantonal",chimborazo,7688
san andres,chimborazo,7639
malacatos (valladolid),loja,7604
"patate, cabecera cantonal",tungurahua,7537
"quero, cabecera cantonal",tungurahua,7422
"el dorado de cascales, cabecera cantonal",sucumbios,7375
"villa la union (cajabamba), cabecera cantonal",chimborazo,7373
"isidro ayora, cabecera cantonal",guayas,7335
"palora (metzera),cabecera cantonal",morona santiago,7316
"celica, cabecera cantonal",loja,7247
san juan de pastocalle,cotopaxi,7204
san joaquin,azuay,7188
"santa ana de vuelta larga, cabecera cantonal",manabi,7142
"saraguro, cabecera cantonal",loja,7032
javier loyola (chuquipata),canar,6954
san pablo,imbabura,6952
"pedro vicente maldonado, cabecera cantonal",pichincha,6938
"catarama, cabecera cantonal",los rios,6853
valle hermoso,santo domingo de los tsachilas,6817
"alamor, cabecera cantonal",loja,6800
buenavista,el oro,6772
urcuqui cabecera cantonal,imbabura,6711
"sigsig, cabecera cantonal",azuay,6709
"san miguel de los bancos , cabecera cantonal",pichincha,6704
chiguaza,morona santiago,6686
borbon,esmeraldas,6658
"chambo, cabecera cantonal",chimborazo,6632
"catacocha, cabecera cantonal",loja,6556
"san jose de chimbo, cabecera cantonal",bolivar,6533
san mateo,esmeraldas,6526
"palenque, cabecera cantonal",los rios,6495
"colimes, cabecera cantonal",guayas,6461
tonchigue,esmeraldas,6443
tachina,esmeraldas,6337
tarqui,azuay,6316
"el angel, cabecera cantonal",carchi,6285
mulalo,cotopaxi,6264
"huaca, cabecera cantonal",carchi,6186
rio bonito,el oro,6093
picaigua,tungurahua,6092
taura,guayas,6090
la esperanza,imbabura,6086
lago san pedro,orellana,6081
"chillanes, cabecera cantonal",bolivar,6073
"junin, cabecera cantonal",manabi,6069
cotogchoa,pichincha,6046
"puerto el carmen del putumayo, cabecera cantonal",sucumbios,6012
nanegalito,pichincha,5992
uyumbicho,pichincha,5956
san francisco de natabuela,imbabura,5944
san roque,imbabura,5906
cotundo,napo,5903
guayas (pueblo nuevo),guayas,5872
"flavio alfaro, cabecera cantonal",manabi,5738
"santiago de mendez, cabecera cantonal",morona santiago,5736
limonal,guayas,5705
"balsas, cabecera cantonal",el oro,5686
"loreto, cabecera cantonal",orellana,5675
la merced,pichincha,5578
el retiro,el oro,5565
pansaleo,cotopaxi,5564
barbones (sucre),el oro,5549
"mira (chontahuasi), cabecera cantonal",carchi,5544
"chunchi, cabecera cantonal",chimborazo,5544
chanduy,santa elena,5507
paccha,azuay,5495
puerto limon,santo domingo de los tsachilas,5462
nulti,azuay,5367
general farfan,sucumbios,5328
san juan de iluman,imbabura,5315
vilcabamba (victoria),loja,5295
abdon calderon (san francisco),manabi,5288
"rioverde, cabecera cantonal",esmeraldas,5267
"mocha, cabecera cantonal",tungurahua,5218
"general leonidas plaza gutierrez (limon), cabece",morona santiago,5217
tenguel,guayas,5144
san jacinto del bua,santo domingo de los tsachilas,5117
santa rosa de flandes,guayas,5062
"el tambo, cabecera cantonal",canar,5021
san carlos,guayas,4968
"pajan, cabecera cantonal",manabi,4905
"puerto lopez, cabecera cantonal",manabi,4852
"zapotillo, cabecera cantonal",loja,4813
chobo,guayas,4812
avila (cab. en huiruno),orellana,4802
lloa,pichincha,4790
zambiza,pichincha,4775
"nabon, cabecera cantonal",azuay,4764
simon bolivar (cab. en mushullacta),pastaza,4754
general pedro j. montero (boliche),guayas,4727
"zumba, cabecera cantonal",zamora chinchipe,4704
"puerto villamil, cabecera cantonal",galapagos,4694
"sigchos, cabecera cantonal",cotopaxi,4687
guangopolo,pichincha,4675
san jose de ayora,pichincha,4657
yaguachi viejo (cone),guayas,4648
jesus maria,guayas,4634
santa cecilia,sucumbios,4629
checa (chilpa),pichincha,4612
"baeza, cabecera cantonal",napo,4606
"marcabeli, cabecera cantonal",el oro,4540
augusto n. martinez (mundugleo),tungurahua,4503
ascazubi,pichincha,4502
laurel,guayas,4471
calpi,chimborazo,4468
"tarapoa , cabecera cantonal",sucumbios,4332
"jama, cabecera cantonal",manabi,4329
isla de bejucal,los rios,4318
riochico (rio chico),manabi,4299
cojimies,manabi,4295
salinas,bolivar,4281
moraspungo,cotopaxi,4226
"taisha, cabecera cantonal",morona santiago,4180
roberto astudillo (cab. en cruce de venecia),guayas,4162
la peana,el oro,4130
