Año_Mes,provincia,Cantidad
2025-02,pichincha,61474
2025-02,santa elena,3490
2025-02,santo domingo de los tsachilas,8327
2025-02,sucumbios,3505
2025-02,tungurahua,10295
2025-02,zamora chinchipe,1314
2025-03,azuay,15199
2025-03,bolivar,3228
2025-03,canar,2702
2025-03,carchi,3433
2025-03,chimborazo,8249
2025-03,cotopaxi,6703
2025-03,el oro,11656
2025-03,esmeraldas,5405
2025-03,galapagos,823
2025-03,guayas,65270
2025-03,imbabura,10154
2025-03,loja,8579
2025-03,los rios,11538
2025-03,manabi,13516
2025-03,morona santiago,4089
2025-03,napo,1872
2025-03,orellana,2597
2025-03,pastaza,2144
2025-03,pichincha,68908
2025-03,santa elena,4116
2025-03,santo domingo de los tsachilas,9107
2025-03,sucumbios,4012
2025-03,tungurahua,12183
2025-03,zamora chinchipe,1560
2025-04,azuay,14687
2025-04,bolivar,2849
2025-04,canar,2313
2025-04,carchi,3406
2025-04,chimborazo,7843
2025-04,cotopaxi,6544
2025-04,el oro,10750
2025-04,esmeraldas,5512
2025-04,galapagos,727
2025-04,guayas,61401
2025-04,imbabura,9664
2025-04,loja,8024
2025-04,los rios,10416
2025-04,manabi,12246
2025-04,morona santiago,3924
2025-04,napo,1721
2025-04,orellana,2489
2025-04,pastaza,1969
2025-04,pichincha,67678
2025-04,santa elena,3717
2025-04,santo domingo de los tsachilas,9152
2025-04,sucumbios,3806
2025-04,tungurahua,10984
2025-04,zamora chinchipe,1515
2025-05,azuay,15222
2025-05,bolivar,3008
2025-05,canar,2574
2025-05,carchi,3509
2025-05,chimborazo,7456
2025-05,cotopaxi,7065
2025-05,el oro,11356
2025-05,esmeraldas,5241
2025-05,galapagos,853
2025-05,guayas,67067
2025-05,imbabura,10341
2025-05,loja,7668
2025-05,los rios,11388
2025-05,manabi,12696
2025-05,morona santiago,4035
2025-05,napo,1719
2025-05,orellana,2632
2025-05,pastaza,2053
2025-05,pichincha,71816
2025-05,santa elena,3941
2025-05,santo domingo de los tsachilas,9715
2025-05,sucumbios,3944
2025-05,tungurahua,11140
2025-05,zamora chinchipe,1405
2025-06,azuay,15081
2025-06,bolivar,3041
2025-06,canar,2754
2025-06,carchi,3406
2025-06,chimborazo,7661
2025-06,cotopaxi,6736
2025-06,el oro,11292
2025-06,esmeraldas,5200
2025-06,galapagos,866
2025-06,guayas,67270
2025-06,imbabura,9880
2025-06,loja,7527
2025-06,los rios,10856
2025-06,manabi,12130
2025-06,morona santiago,3940
2025-06,napo,1693
2025-06,orellana,2761
2025-06,pastaza,1896
2025-06,pichincha,67487
2025-06,santa elena,3697
2025-06,santo domingo de los tsachilas,9355
2025-06,sucumbios,4074
2025-06,tungurahua,11000
2025-06,zamora chinchipe,1462
2025-07,azuay,14609
2025-07,bolivar,3140
2025-07,canar,2413
2025-07,carchi,3036
2025-07,chimborazo,7351
2025-07,cotopaxi,6251
2025-07,el oro,11041
2025-07,esmeraldas,5136
2025-07,galapagos,856
2025-07,guayas,68585
2025-07,imbabura,9405
2025-07,loja,7832
2025-07,los rios,11225
2025-07,manabi,12397
2025-07,morona santiago,3875
2025-07,napo,1398
2025-07,orellana,2623
2025-07,pastaza,1903
2025-07,pichincha,65076
2025-07,santa elena,3703
2025-07,santo domingo de los tsachilas,9585
2025-07,sucumbios,3975
2025-07,tungurahua,11124
2025-07,zamora chinchipe,1451
2025-08,azuay,14441
2025-08,bolivar,3122
2025-08,canar,2630
2025-08,carchi,3206
2025-08,chimborazo,7153
2025-08,cotopaxi,6516
2025-08,el oro,11450
2025-08,esmeraldas,6676
2025-08,galapagos,907
2025-08,guayas,71606
2025-08,imbabura,9853
2025-08,loja,7562
2025-08,los rios,11562
2025-08,manabi,12897
2025-08,morona santiago,4119
2025-08,napo,1483
2025-08,orellana,2355
2025-08,pastaza,1917
2025-08,pichincha,65006
2025-08,santa elena,3927
2025-08,santo domingo de los tsachilas,10029
2025-08,sucumbios,4350
2025-08,tungurahua,11115
2025-08,zamora chinchipe,1440
