Año_Mes,provincia,Cantidad
2022-03,pichincha,72974
2022-03,santa elena,5006
2022-03,santo domingo de los tsachilas,10574
2022-03,sucumbios,3808
2022-03,tungurahua,13408
2022-03,zamora chinchipe,1413
2022-04,azuay,18093
2022-04,bolivar,3712
2022-04,canar,3425
2022-04,carchi,3560
2022-04,chimborazo,8447
2022-04,cotopaxi,6105
2022-04,el oro,13693
2022-04,esmeraldas,8290
2022-04,galapagos,851
2022-04,guayas,76601
2022-04,imbabura,11040
2022-04,loja,8670
2022-04,los rios,15855
2022-04,manabi,15717
2022-04,morona santiago,3518
2022-04,napo,1642
2022-04,orellana,2899
2022-04,pastaza,2574
2022-04,pichincha,73858
2022-04,santa elena,4474
2022-04,santo domingo de los tsachilas,9593
2022-04,sucumbios,4047
2022-04,tungurahua,13579
2022-04,zamora chinchipe,1390
2022-05,azuay,15788
2022-05,bolivar,3485
2022-05,canar,2990
2022-05,carchi,3392
2022-05,chimborazo,8419
2022-05,cotopaxi,5883
2022-05,el oro,14143
2022-05,esmeraldas,8800
2022-05,galapagos,962
2022-05,guayas,82463
2022-05,imbabura,11809
2022-05,loja,8711
2022-05,los rios,14702
2022-05,manabi,16119
2022-05,morona santiago,3630
2022-05,napo,1711
2022-05,orellana,2983
2022-05,pastaza,2468
2022-05,pichincha,76216
2022-05,santa elena,4471
2022-05,santo domingo de los tsachilas,10862
2022-05,sucumbios,3977
2022-05,tungurahua,13280
2022-05,zamora chinchipe,1422
2022-06,azuay,17154
2022-06,bolivar,2851
2022-06,canar,3112
2022-06,carchi,3268
2022-06,chimborazo,7090
2022-06,cotopaxi,5038
2022-06,el oro,13299
2022-06,esmeraldas,7828
2022-06,galapagos,881
2022-06,guayas,78938
2022-06,imbabura,9868
2022-06,loja,7618
2022-06,los rios,13494
2022-06,manabi,15203
2022-06,morona santiago,2594
2022-06,napo,1443
2022-06,orellana,2654
2022-06,pastaza,2173
2022-06,pichincha,66651
2022-06,santa elena,4283
2022-06,santo domingo de los tsachilas,9949
2022-06,sucumbios,3648
2022-06,tungurahua,11424
2022-06,zamora chinchipe,1231
2022-07,azuay,17466
2022-07,bolivar,3582
2022-07,canar,3488
2022-07,carchi,3621
2022-07,chimborazo,8735
2022-07,cotopaxi,6138
2022-07,el oro,14237
2022-07,esmeraldas,8338
